,batch_size,neurons,dropout,filter_size,kernel_size,stride,test_loss,test_accuracy,val_loss,val_accuracy,precision,recall,f1_score
88,650,250,0.2,128,6,4,0.19262005388736725,0.9208940863609314,0.32870757579803467,0.8567340970039368,0.9270139181319808,0.9085861730996084,0.9170899138097638
89,650,500,0.4,64,8,6,0.18433566391468048,0.9244285821914673,0.30967068672180176,0.8647793531417847,0.9301701760855646,0.9132111357642739,0.9212035052992755
90,650,250,0.4,128,4,4,0.23429203033447266,0.9013700485229492,0.37210404872894287,0.8439425230026245,0.9220248480352766,0.874225069965829,0.8927085802535487
91,300,250,0.4,32,8,6,0.19578038156032562,0.9233850836753845,0.2900724411010742,0.879186749458313,0.9240395394517225,0.9208072662761322,0.9223526833143639
92,300,250,0.2,64,4,4,0.20631229877471924,0.9164843559265137,0.31703275442123413,0.8675059676170349,0.9168300831217722,0.9132739620341906,0.9150199830547612
93,150,1000,0.4,64,6,6,0.18542973697185516,0.9257750511169434,0.28038227558135986,0.8966236710548401,0.926052169064024,0.9219324153167756,0.9239580146999763
94,50,1750,0.2,64,8,4,0.18161070346832275,0.9265493154525757,0.269154816865921,0.8890833854675293,0.9260120990596391,0.9240219747939865,0.9249765196016472
95,300,1750,0.4,128,8,4,0.1824040561914444,0.926582932472229,0.25855880975723267,0.9019086360931396,0.9224656431063402,0.9316211220891848,0.9264909568980557
96,300,250,0.2,32,8,4,0.19684839248657227,0.922341525554657,0.29533934593200684,0.8743057250976562,0.9197213447085432,0.9268723342839812,0.9226534077210421
97,50,250,0.4,64,6,6,0.20270074903964996,0.9187396764755249,0.31361451745033264,0.8825192451477051,0.9223411909020562,0.9113899065426644,0.9167216327380089
98,50,2500,0.2,128,8,6,0.18416084349155426,0.9251018166542053,0.23082730174064636,0.9118726253509521,0.9241020454829578,0.9229067248431448,0.9234657328736171
99,50,1000,0.4,64,4,4,0.1982351690530777,0.9208940863609314,0.2540823817253113,0.8989464044570923,0.9240469752846371,0.9135679571762824,0.9186692737873926
